experiment_id,variant,success,error,response,willingness_to_pay,offer,config_business_type,config_clients_per_month,config_average_contract_value,config_additional_clients_from_software,config_admin_time_percentage,config_client_name,config_agent_name,config_vendor_name,config_software_type
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jane Doe_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Jane Doe,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jane Doe_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Jane Doe,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jane Doe_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"250, 150",250.0,150.0,marketing consultant for small businesses in the US,20,200,1,10,Jane Doe,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jane Doe_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"1000, 700",1000.0,700.0,marketing consultant for small businesses in the US,20,200,1,10,Jane Doe,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jane Doe_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"200, 150",200.0,150.0,marketing consultant for small businesses in the US,20,200,1,10,Jane Doe,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jane Doe_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"750, 500",750.0,500.0,marketing consultant for small businesses in the US,20,200,1,10,Jane Doe,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=John Smith_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"1000, 700",1000.0,700.0,marketing consultant for small businesses in the US,20,200,1,10,John Smith,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=John Smith_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"320, 200",320.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,John Smith,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=John Smith_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,John Smith,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=John Smith_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"1500, 1000",1500.0,1000.0,marketing consultant for small businesses in the US,20,200,1,10,John Smith,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=John Smith_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"1050, 800",1050.0,800.0,marketing consultant for small businesses in the US,20,200,1,10,John Smith,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=John Smith_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"1000, 700",1000.0,700.0,marketing consultant for small businesses in the US,20,200,1,10,John Smith,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Maria Garcia_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Maria Garcia,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Maria Garcia_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"250, 150",250.0,150.0,marketing consultant for small businesses in the US,20,200,1,10,Maria Garcia,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Maria Garcia_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"150, 100",150.0,100.0,marketing consultant for small businesses in the US,20,200,1,10,Maria Garcia,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Maria Garcia_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"450, 350",450.0,350.0,marketing consultant for small businesses in the US,20,200,1,10,Maria Garcia,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Maria Garcia_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"2200, 1800",2200.0,1800.0,marketing consultant for small businesses in the US,20,200,1,10,Maria Garcia,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Maria Garcia_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"600, 400",600.0,400.0,marketing consultant for small businesses in the US,20,200,1,10,Maria Garcia,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jamal Washington_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Jamal Washington,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jamal Washington_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Jamal Washington,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jamal Washington_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"400, 300",400.0,300.0,marketing consultant for small businesses in the US,20,200,1,10,Jamal Washington,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jamal Washington_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"1000, 800",1000.0,800.0,marketing consultant for small businesses in the US,20,200,1,10,Jamal Washington,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jamal Washington_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Jamal Washington,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Jamal Washington_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"1500, 1200",1500.0,1200.0,marketing consultant for small businesses in the US,20,200,1,10,Jamal Washington,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Priya Patel_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"500, 400",500.0,400.0,marketing consultant for small businesses in the US,20,200,1,10,Priya Patel,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Priya Patel_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"300, 180",300.0,180.0,marketing consultant for small businesses in the US,20,200,1,10,Priya Patel,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Priya Patel_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Priya Patel,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Priya Patel_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"320, 240",320.0,240.0,marketing consultant for small businesses in the US,20,200,1,10,Priya Patel,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Priya Patel_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"1500, 1200",1500.0,1200.0,marketing consultant for small businesses in the US,20,200,1,10,Priya Patel,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Priya Patel_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"420, 350",420.0,350.0,marketing consultant for small businesses in the US,20,200,1,10,Priya Patel,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"350, 250",350.0,250.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"$300, $200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"$600, $400",600.0,400.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"300, 250",300.0,250.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"250, 200",250.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"250, 200",250.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"150, 120",150.0,120.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"2300, 1800",2300.0,1800.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"800, 600",800.0,600.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
